name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;is_runnable;is_device;is_bios;biosof;is_mechanical
dblplay;Super Baseball Double Play Home Run Derby;1987;Leland Corporation / Tradewest;YES;-;NO;-;-;YES;NO;NO;-;NO
dbreed;Dragon Breed (M81 PCB version);1989;Irem;YES;-;NO;-;-;YES;NO;NO;-;NO
dbz;Dragon Ball Z (rev B);1993;Banpresto;YES;-;NO;-;-;YES;NO;NO;-;NO
dbz2;Dragon Ball Z 2 - Super Battle;1994;Banpresto;YES;-;NO;-;-;YES;NO;NO;-;NO
dbzvrvs;Dragon Ball Z V.R.V.S. (Japan);1994;Sega / Banpresto;YES;-;NO;-;-;YES;NO;NO;-;NO
dcclub;Dynamic Country Club (World, ROM Based);1991;Sega;YES;-;NO;-;-;YES;NO;NO;-;NO
dcon;D-Con;1992;Success;YES;-;NO;-;-;YES;NO;NO;-;NO
dday;D-Day;1982;Olympia;YES;-;NO;-;-;YES;NO;NO;-;NO
ddayc;D-Day (Centuri);1982;Olympia (Centuri license);NO;dday;YES;dday;-;YES;NO;NO;-;NO
ddcrew;D. D. Crew (World, 3 Players) (FD1094 317-0190);1991;Sega;YES;-;NO;-;-;YES;NO;NO;-;NO
ddonpach;DoDonPachi (International, Master Ver. 97/02/05);1997;Cave (Atlus license);YES;-;NO;-;-;YES;NO;NO;-;NO
ddonpchj;DoDonPachi (Japan, Master Ver. 97/02/05);1997;Atlus/Cave;NO;ddonpach;YES;ddonpach;-;YES;NO;NO;-;NO
ddragn2u;Double Dragon II - The Revenge (US);1988;Technos Japan;NO;ddragon2;YES;ddragon2;-;YES;NO;NO;-;NO
ddrago3b;Double Dragon 3 - The Rosetta Stone (bootleg);1990;bootleg;NO;ddragon3;YES;ddragon3;-;YES;NO;NO;-;NO
ddragon;Double Dragon (Japan);1987;Technos Japan;YES;-;NO;-;-;YES;NO;NO;-;NO
ddragon2;Double Dragon II - The Revenge (World);1988;Technos Japan;YES;-;NO;-;-;YES;NO;NO;-;NO
ddragon3;Double Dragon 3 - The Rosetta Stone (US);1990;Technos Japan;YES;-;NO;-;-;YES;NO;NO;-;NO
ddragonb;Double Dragon (bootleg with HD6309);1987;bootleg;NO;ddragon;YES;ddragon;-;YES;NO;NO;-;NO
ddragonu;Double Dragon (US set 1);1987;Technos Japan (Taito America license);NO;ddragon;YES;ddragon;-;YES;NO;NO;-;NO
ddragonw;Double Dragon (World set 1);1987;Technos Japan (Taito license);NO;ddragon;YES;ddragon;-;YES;NO;NO;-;NO
ddribble;Double Dribble;1986;Konami;YES;-;NO;-;-;YES;NO;NO;-;NO
ddsom;Dungeons & Dragons: Shadow over Mystara (Euro 960619);1996;Capcom;YES;-;NO;-;-;YES;NO;NO;-;NO
ddsoma;Dungeons & Dragons: Shadow over Mystara (Asia 960619);1996;Capcom;NO;ddsom;YES;ddsom;-;YES;NO;NO;-;NO
ddsomj;Dungeons & Dragons: Shadow over Mystara (Japan 960619);1996;Capcom;NO;ddsom;YES;ddsom;-;YES;NO;NO;-;NO
ddsomjr1;Dungeons & Dragons: Shadow over Mystara (Japan 960206);1996;Capcom;NO;ddsom;YES;ddsom;-;YES;NO;NO;-;NO
ddsomr1;Dungeons & Dragons: Shadow over Mystara (Euro 960223);1996;Capcom;NO;ddsom;YES;ddsom;-;YES;NO;NO;-;NO
ddsomu;Dungeons & Dragons: Shadow over Mystara (USA 960619);1996;Capcom;NO;ddsom;YES;ddsom;-;YES;NO;NO;-;NO
ddsomur1;Dungeons & Dragons: Shadow over Mystara (USA 960209);1996;Capcom;NO;ddsom;YES;ddsom;-;YES;NO;NO;-;NO
ddtod;Dungeons & Dragons: Tower of Doom (Euro 940412);1993;Capcom;YES;-;NO;-;-;YES;NO;NO;-;NO
ddtoda;Dungeons & Dragons: Tower of Doom (Asia 940412);1993;Capcom;NO;ddtod;YES;ddtod;-;YES;NO;NO;-;NO
ddtodh;Dungeons & Dragons: Tower of Doom (Hispanic 940412);1993;Capcom;NO;ddtod;YES;ddtod;-;YES;NO;NO;-;NO
ddtodj;Dungeons & Dragons: Tower of Doom (Japan 940412);1993;Capcom;NO;ddtod;YES;ddtod;-;YES;NO;NO;-;NO
ddtodr1;Dungeons & Dragons: Tower of Doom (Euro 940113);1993;Capcom;NO;ddtod;YES;ddtod;-;YES;NO;NO;-;NO
ddtodu;Dungeons & Dragons: Tower of Doom (USA 940125);1993;Capcom;NO;ddtod;YES;ddtod;-;YES;NO;NO;-;NO
ddtodur1;Dungeons & Dragons: Tower of Doom (USA 940113);1993;Capcom;NO;ddtod;YES;ddtod;-;YES;NO;NO;-;NO
ddungeon;Dangerous Dungeons (set 1);1992;The Game Room;YES;-;NO;-;-;YES;NO;NO;-;NO
dduxbl;Dynamite Dux (Datsu bootleg);1989;bootleg (Datsu);NO;ddux;YES;ddux;-;YES;NO;NO;-;NO
deadang;Dead Angle;1988;Seibu Kaihatsu;YES;-;NO;-;-;YES;NO;NO;-;NO
deadconj;Dead Connection (Japan);1992;Taito Corporation;NO;deadconx;YES;deadconx;-;YES;NO;NO;-;NO
deadconx;Dead Connection (World);1992;Taito Corporation Japan;YES;-;NO;-;-;YES;NO;NO;-;NO
deadeye;Dead Eye;1978;Meadows Games, Inc.;YES;-;NO;-;-;YES;NO;NO;-;NO
deathbrd;Death Brade (Japan ver JM-3);1992;Data East Corporation;NO;mutantf;YES;mutantf;-;YES;NO;NO;-;NO
decathlt;Decathlete (JUET 960709 V1.001);1996;Sega;YES;stvbios;NO;-;-;YES;NO;NO;stvbios;NO
defcmnd;Defense Command (Defender bootleg);1980;bootleg;NO;defender;YES;defender;-;YES;NO;NO;-;NO
defence;Defence Command (Defender bootleg);1981;bootleg (Outer Limits);NO;defender;YES;defender;-;YES;NO;NO;-;NO
defender;Defender (Red label);1980;Williams;YES;-;NO;-;-;YES;NO;NO;-;NO
defendg;Defender (Green label);1980;Williams;NO;defender;YES;defender;-;YES;NO;NO;-;NO
defendw;Defender (White label);1980;Williams;NO;defender;YES;defender;-;YES;NO;NO;-;NO
defndjeu;Defender (bootleg);1980;bootleg (Jeutel);NO;defender;YES;defender;-;YES;NO;NO;-;NO
deltrace;Delta Race;1981;bootleg (Allied Leisure);NO;omegrace;YES;omegrace;-;YES;NO;NO;-;NO
demoderb;Demolition Derby;1984;Bally Midway;YES;-;NO;-;-;YES;NO;NO;-;NO
demoderm;Demolition Derby (MCR-3 Mono Board Version);1984;Bally Midway;NO;demoderb;YES;demoderb;-;YES;NO;NO;-;NO
demon;Demon;1982;Rock-Ola;YES;-;NO;-;-;YES;NO;NO;-;NO
demoneye;Demoneye-X;1981;Irem;YES;-;NO;-;-;YES;NO;NO;-;NO
demonwl1;Demon's World / Horror Story (Taito license, set 2);1989;Toaplan;NO;demonwld;YES;demonwld;-;YES;NO;NO;-;NO
demonwld;Demon's World / Horror Story (set 1);1990;Toaplan;YES;-;NO;-;-;YES;NO;NO;-;NO
depthch;Depthcharge;1977;Gremlin;YES;-;NO;-;depthch;YES;NO;NO;-;NO
depthv1;Depthcharge (older);1977;Gremlin;NO;depthch;YES;depthch;depthch;YES;NO;NO;-;NO
deroon;Deroon DeroDero;1995;Tecmo;YES;-;NO;-;-;YES;NO;NO;-;NO
desertgu;Desert Gun;1977;Dave Nutting Associates / Midway;YES;-;NO;-;-;YES;NO;NO;-;NO
desertwr;Desert War / Wangan Sensou;1995;Jaleco;YES;-;NO;-;-;YES;NO;NO;-;NO
desterth;Destination Earth (bootleg of Lunar Rescue);1979;bootleg;NO;lrescue;YES;lrescue;lrescue;YES;NO;NO;-;NO
destroyr;Destroyer (version O2);1977;Atari;YES;-;NO;-;-;YES;NO;NO;-;NO
detatwin;Detana!! Twin Bee (Japan, version J);1991;Konami;NO;blswhstl;YES;blswhstl;-;YES;NO;NO;-;NO
devilfsg;Devil Fish (Galaxian hardware, bootleg?);1984;Vision / Artic;NO;devilfsh;YES;devilfsh;galaxian;YES;NO;NO;-;NO
devilfsh;Devil Fish;1982;Artic;YES;-;NO;-;-;YES;NO;NO;-;NO
devilw;Devil World;1987;Konami;YES;-;NO;-;-;YES;NO;NO;-;NO
devstor2;Devastators (ver. X);1988;Konami;NO;devstors;YES;devstors;-;YES;NO;NO;-;NO
devstor3;Devastators (ver. V);1988;Konami;NO;devstors;YES;devstors;-;YES;NO;NO;-;NO
devstors;Devastators (ver. Z);1988;Konami;YES;-;NO;-;-;YES;NO;NO;-;NO
devzone;Devil Zone;1980;Universal;YES;-;NO;-;-;YES;NO;NO;-;NO
devzone2;Devil Zone (easier);1980;Universal;NO;devzone;YES;devzone;-;YES;NO;NO;-;NO
dfeveron;Dangun Feveron (Japan, Ver. 98/09/17);1998;Cave (Nihon System license);NO;feversos;YES;feversos;-;YES;NO;NO;-;NO
dharma;Dharma Doujou;1994;Metro;YES;-;NO;-;-;YES;NO;NO;-;NO
diamond;Diamond Run;1989;KH Video;YES;-;NO;-;-;YES;NO;NO;-;NO
diehard;Die Hard Arcade (UET 960515 V1.000);1996;Sega;YES;stvbios;NO;-;-;YES;NO;NO;stvbios;NO
digdug;Dig Dug (rev 2);1982;Namco;YES;-;NO;-;-;YES;NO;NO;-;NO
digdug2;Dig Dug II (New Ver.);1985;Namco;YES;-;NO;-;-;YES;NO;NO;-;NO
digdug2o;Dig Dug II (Old Ver.);1985;Namco;NO;digdug2;YES;digdug2;-;YES;NO;NO;-;NO
digduga1;Dig Dug (Atari, rev 1);1982;[Namco] (Atari license);NO;digdug;YES;digdug;-;YES;NO;NO;-;NO
digdugat;Dig Dug (Atari, rev 2);1982;Namco (Atari license);NO;digdug;YES;digdug;-;YES;NO;NO;-;NO
digdugb;Dig Dug (rev 1);1982;Namco;NO;digdug;YES;digdug;-;YES;NO;NO;-;NO
digger;Digger;1980;Sega;YES;-;NO;-;-;YES;NO;NO;-;NO
dimahoo;Dimahoo (Euro 000121);2000;Eighting / Raizing (Capcom license);YES;-;NO;-;-;YES;NO;NO;-;NO
dingo;Dingo;1983;Ashby Computers and Graphics Ltd. (Jaleco license);YES;-;NO;-;-;YES;NO;NO;-;NO
dino;Cadillacs and Dinosaurs (World 930201);1993;Capcom;YES;-;NO;-;-;YES;NO;NO;-;NO
dinoj;Cadillacs: Kyouryuu Shin Seiki (Japan 930201);1993;Capcom;NO;dino;YES;dino;-;YES;NO;NO;-;NO
dinorex;Dino Rex (World);1992;Taito Corporation Japan;YES;-;NO;-;-;YES;NO;NO;-;NO
dinorexj;Dino Rex (Japan);1992;Taito Corporation;NO;dinorex;YES;dinorex;-;YES;NO;NO;-;NO
dinorexu;Dino Rex (US);1992;Taito America Corporation;NO;dinorex;YES;dinorex;-;YES;NO;NO;-;NO
dinou;Cadillacs and Dinosaurs (USA 930201);1993;Capcom;NO;dino;YES;dino;-;YES;NO;NO;-;NO
dirtfoxj;Dirt Fox (Japan);1989;Namco;YES;-;NO;-;-;YES;NO;NO;-;NO
disco;Disco No.1;1982;Data East;YES;-;NO;-;-;YES;NO;NO;-;NO
discof;Disco No.1 (Rev.F);1982;Data East;NO;disco;YES;disco;-;YES;NO;NO;-;NO
diverboy;Diver Boy;1992;Gamart (Electronic Devices Italy license);YES;-;NO;-;-;YES;NO;NO;-;NO
djboy;DJ Boy (set 1);1989;Kaneko (American Sammy license);YES;-;NO;-;-;YES;NO;NO;-;NO
dkgenm72;Daiku no Gensan (Japan, M72);1990;Irem;NO;hharry;YES;hharry;-;YES;NO;NO;-;NO
dkgensan;Daiku no Gensan (Japan, M84);1990;Irem;NO;hharry;YES;hharry;-;YES;NO;NO;-;NO
dkngjnrb;Donkey Kong Junior (bootleg?);1982;Nintendo of America;NO;dkongjr;YES;dkongjr;dkongjr;YES;NO;NO;-;NO
dkngjnrj;Donkey Kong Junior (Japan?);1982;Nintendo;NO;dkongjr;YES;dkongjr;dkongjr;YES;NO;NO;-;NO
dkong;Donkey Kong (US set 1);1981;Nintendo of America;YES;-;NO;-;-;YES;NO;NO;-;NO
dkong3;Donkey Kong 3 (US);1983;Nintendo of America;YES;-;NO;-;-;YES;NO;NO;-;NO
dkong3b;Donkey Kong 3 (bootleg on Donkey Kong Jr. hardware);1984;bootleg;NO;dkong3;YES;dkong3;dkongjr;YES;NO;NO;-;NO
dkong3j;Donkey Kong 3 (Japan);1983;Nintendo;NO;dkong3;YES;dkong3;-;YES;NO;NO;-;NO
dkongjo;Donkey Kong (Japan set 2);1981;Nintendo;NO;dkong;YES;dkong;dkong;YES;NO;NO;-;NO
dkongjo1;Donkey Kong (Japan set 3);1981;Nintendo;NO;dkong;YES;dkong;dkong;YES;NO;NO;-;NO
dkongjp;Donkey Kong (Japan set 1);1981;Nintendo;NO;dkong;YES;dkong;dkong;YES;NO;NO;-;NO
dkongjr;Donkey Kong Junior (US set F-2);1982;Nintendo of America;YES;-;NO;-;-;YES;NO;NO;-;NO
dkongjrb;Donkey Kong Jr. (bootleg);1982;bootleg;NO;dkongjr;YES;dkongjr;dkongjr;YES;NO;NO;-;NO
dkongjrj;Donkey Kong Jr. (Japan);1982;Nintendo;NO;dkongjr;YES;dkongjr;dkongjr;YES;NO;NO;-;NO
dkongjrm;Donkey Kong Jr. (bootleg on Moon Cresta hardware, set 1);1982;bootleg;NO;dkongjr;YES;dkongjr;galaxian;YES;NO;NO;-;NO
dkongo;Donkey Kong (US set 2);1981;Nintendo;NO;dkong;YES;dkong;dkong;YES;NO;NO;-;NO
dlair;Dragon's Lair (US Rev. F2);1983;Cinematronics;YES;-;NO;-;-;YES;NO;NO;-;NO
dleague;Dynamite League (US);1990;Taito America Corporation;YES;-;NO;-;-;YES;NO;NO;-;NO
dnmtdeka;Dynamite Deka (J 960515 V1.000);1996;Sega;NO;diehard;YES;diehard;-;YES;NO;NO;stvbios;NO
doapp;Dead Or Alive ++ (Japan);1998;Tecmo;YES;coh1002m;NO;-;-;YES;NO;NO;coh1002m;NO
docastl2;Mr. Do's Castle (set 2);1983;Universal;NO;docastle;YES;docastle;-;YES;NO;NO;-;NO
docastle;Mr. Do's Castle (set 1);1983;Universal;YES;-;NO;-;-;YES;NO;NO;-;NO
docastlo;Mr. Do's Castle (older);1983;Universal;NO;docastle;YES;docastle;-;YES;NO;NO;-;NO
dockman;Dock Man;1982;Taito Corporation;YES;-;NO;-;-;YES;NO;NO;-;NO
dodgem;Dodgem;1979;Zaccaria;YES;-;NO;-;-;YES;NO;NO;-;NO
dogfgt;Acrobatic Dog-Fight;1984;Technos Japan;YES;-;NO;-;-;YES;NO;NO;-;NO
dogfgtj;Dog-Fight (Japan);1984;Technos Japan;NO;dogfgt;YES;dogfgt;-;YES;NO;NO;-;NO
dogfight;Dog Fight (Thunderbolt);1983;Orca / Thunderbolt;YES;-;NO;-;-;YES;NO;NO;-;NO
dogosoke;Dogou Souken;1986;SNK;NO;victroad;YES;victroad;-;YES;NO;NO;-;NO
dogosokj;Dogou Souken (Joystick hack bootleg);1986;bootleg;NO;victroad;YES;victroad;-;YES;NO;NO;-;NO
dogpatch;Dog Patch;1977;Midway;YES;-;NO;-;circus;YES;NO;NO;-;NO
dogyuun;Dogyuun;1992;Toaplan;YES;-;NO;-;-;YES;NO;NO;-;NO
dokaben;Dokaben (Japan);1989;Capcom;YES;-;NO;-;-;YES;NO;NO;-;NO
domino;Domino Man;1982;Bally Midway;YES;-;NO;-;-;YES;NO;NO;-;NO
dominos;Dominos;1977;Atari;YES;-;NO;-;-;YES;NO;NO;-;NO
dommy;Dommy;1983;Technos Japan;YES;-;NO;-;-;YES;NO;NO;-;NO
dondokdj;Don Doko Don (Japan);1989;Taito Corporation;NO;dondokod;YES;dondokod;-;YES;NO;NO;-;NO
dondokdu;Don Doko Don (US);1989;Taito America Corporation;NO;dondokod;YES;dondokod;-;YES;NO;NO;-;NO
dondokod;Don Doko Don (World);1989;Taito Corporation Japan;YES;-;NO;-;-;YES;NO;NO;-;NO
donpachi;DonPachi (US);1995;Cave (Atlus license);YES;-;NO;-;-;YES;NO;NO;-;NO
donpachj;DonPachi (Japan);1995;Atlus/Cave;NO;donpachi;YES;donpachi;-;YES;NO;NO;-;NO
donpachk;DonPachi (Hong Kong);1995;Atlus/Cave;NO;donpachi;YES;donpachi;-;YES;NO;NO;-;NO
dorachan;Dora-chan (Japan);1980;Alpha Denshi Co. / Craul Denshi;YES;-;NO;-;-;YES;NO;NO;-;NO
dorodon;Dorodon (set 1);1982;UPL (Falcon license?);YES;-;NO;-;-;YES;NO;NO;-;NO
dorodon2;Dorodon (set 2);1982;UPL (Falcon license?);NO;dorodon;YES;dorodon;-;YES;NO;NO;-;NO
dorunru2;Do! Run Run (set 2);1984;Universal;NO;dorunrun;YES;dorunrun;-;YES;NO;NO;-;NO
dorunruc;Do! Run Run (Do's Castle hardware, set 1);1984;Universal;NO;dorunrun;YES;dorunrun;-;YES;NO;NO;-;NO
dorunrun;Do! Run Run (set 1);1984;Universal;YES;-;NO;-;-;YES;NO;NO;-;NO
dotriku2;Dottori Kun (old version);1990;Sega;NO;dotrikun;YES;dotrikun;-;YES;NO;NO;-;NO
dotrikun;Dottori Kun (new version);1990;Sega;YES;-;NO;-;-;YES;NO;NO;-;NO
dotron;Discs of Tron (Upright);1983;Bally Midway;YES;-;NO;-;-;YES;NO;NO;-;NO
dotrona;Discs of Tron (Upright alternate);1983;Bally Midway;NO;dotron;YES;dotron;-;YES;NO;NO;-;NO
dotrone;Discs of Tron (Environmental);1983;Bally Midway;NO;dotron;YES;dotron;-;YES;NO;NO;-;NO
doubledr;Double Dragon (Neo-Geo);1995;Technos Japan;YES;neogeo;NO;-;-;YES;NO;NO;neogeo;NO
douni;Mr. Do vs. Unicorns;1983;Universal;NO;docastle;YES;docastle;-;YES;NO;NO;-;NO
dowild;Mr. Do's Wild Ride;1984;Universal;YES;-;NO;-;-;YES;NO;NO;-;NO
downtown;DownTown / Mokugeki (set 1);1989;Seta;YES;-;NO;-;-;YES;NO;NO;-;NO
dplay;Double Play;1977;Midway;YES;einnings;NO;einnings;-;YES;NO;NO;-;NO
dragnblz;Dragon Blaze;2000;Psikyo;YES;-;NO;-;-;YES;NO;NO;-;NO
dragngun;Dragon Gun (US);1993;Data East Corporation;YES;-;NO;-;-;YES;NO;NO;-;NO
dragoonj;Dragoon Might (ver JAA);1995;Konami;NO;dragoona;YES;dragoona;-;YES;NO;NO;konamigx;NO
dragrace;Drag Race;1977;Atari (Kee Games);YES;-;NO;-;-;YES;NO;NO;-;NO
drakton;Drakton (DK conversion);1984;Epos Corporation;YES;-;NO;-;dkong;YES;NO;NO;-;NO
dremshpr;Dream Shopper;1982;Sanritsu;YES;-;NO;-;-;YES;NO;NO;-;NO
drgnbstr;Dragon Buster;1984;Namco;YES;-;NO;-;-;YES;NO;NO;-;NO
drgninja;Dragonninja (Japan);1988;Data East Corporation;NO;baddudes;YES;baddudes;-;YES;NO;NO;-;NO
drgnmst;Dragon Master;1994;Unico;YES;-;NO;-;-;YES;NO;NO;-;NO
drgnunit;Dragon Unit / Castle of Dragon;1989;Seta;YES;-;NO;-;-;YES;NO;NO;-;NO
dribling;Dribbling;1983;Model Racing;YES;-;NO;-;-;YES;NO;NO;-;NO
driblino;Dribbling (Olympia);1983;Model Racing (Olympia license);NO;dribling;YES;dribling;-;YES;NO;NO;-;NO
drifto94;Drift Out '94 - The Hard Order (Japan);1994;Visco;YES;-;NO;-;-;YES;NO;NO;-;NO
driftout;Drift Out (Europe);1991;Visco;YES;-;NO;-;-;YES;NO;NO;-;NO
drius2do;Darius II (dual screen) (Japan old version);1989;Taito Corporation;NO;darius2;YES;darius2;-;YES;NO;NO;-;NO
drivedge;Driver's Edge;1994;Strata/Incredible Technologies;YES;-;NO;-;-;YES;NO;NO;-;NO
driveout;Drive Out (bootleg);1991;bootleg;NO;driftout;YES;driftout;-;YES;NO;NO;-;NO
drivfrcg;Driving Force (Galaxian conversion);1984;Shinkai Inc. (Magic Electronics USA license);NO;drivfrcp;YES;drivfrcp;galaxian;YES;NO;NO;-;NO
drivfrcp;Driving Force (Pac-Man conversion);1984;Shinkai Inc. (Magic Electronics Inc. license);YES;-;NO;-;-;YES;NO;NO;-;NO
drmario;Vs. Dr. Mario;1990;Nintendo;YES;-;NO;-;-;YES;NO;NO;-;NO
drmicro;Dr. Micro;1983;Sanritsu;YES;-;NO;-;-;YES;NO;NO;-;NO
drtoppel;Dr. Toppel's Adventure (World);1987;Kaneko / Taito Corporation Japan;YES;-;NO;-;-;YES;NO;NO;-;NO
drtopplj;Dr. Toppel's Tankentai (Japan);1987;Taito Corporation;NO;drtoppel;YES;drtoppel;-;YES;NO;NO;-;NO
drtopplu;Dr. Toppel's Adventure (US);1987;Taito America Corporation;NO;drtoppel;YES;drtoppel;-;YES;NO;NO;-;NO
dsaber;Dragon Saber (World, DO2);1990;Namco;YES;-;NO;-;-;YES;NO;NO;-;NO
dsaberj;Dragon Saber (Japan, Rev B);1990;Namco;NO;dsaber;YES;dsaber;-;YES;NO;NO;-;NO
dsccr94j;Dream Soccer '94 (Japan);1994;Irem;NO;dsoccr94;YES;dsoccr94;-;YES;NO;NO;-;NO
dsoccr94;Dream Soccer '94 (World, M107 hardware);1994;Irem (Data East Corporation license);YES;-;NO;-;-;YES;NO;NO;-;NO
dspirit;Dragon Spirit (new version (DS3));1987;Namco;YES;-;NO;-;-;YES;NO;NO;-;NO
dspirito;Dragon Spirit (old version);1987;Namco;NO;dspirit;YES;dspirit;-;YES;NO;NO;-;NO
dstlk;Darkstalkers: The Night Warriors (Euro 940705);1994;Capcom;YES;-;NO;-;-;YES;NO;NO;-;NO
dstlka;Darkstalkers: The Night Warriors (Asia 940705);1994;Capcom;NO;dstlk;YES;dstlk;-;YES;NO;NO;-;NO
dstlku;Darkstalkers: The Night Warriors (USA 940818);1994;Capcom;NO;dstlk;YES;dstlk;-;YES;NO;NO;-;NO
dstlkur1;Darkstalkers: The Night Warriors (USA 940705);1994;Capcom;NO;dstlk;YES;dstlk;-;YES;NO;NO;-;NO
duckhunt;Vs. Duck Hunt (set DH3 E);1985;Nintendo;YES;-;NO;-;-;YES;NO;NO;-;NO
dumpmtmt;Dump Matsumoto (Japan, 8751 317-0011a);1986;Sega;NO;bodyslam;YES;bodyslam;-;YES;NO;NO;-;NO
dungenmu;Dungeon Magic (Ver 2.1A 1994/02/18);1993;Taito America Corporation;NO;dungeonm;YES;dungeonm;-;YES;NO;NO;-;NO
dungeonm;Dungeon Magic (Ver 2.1O 1994/02/18);1993;Taito Corporation Japan;NO;lightbr;YES;lightbr;-;YES;NO;NO;-;NO
dunkmnia;Dunk Mania (World, DM2/VER.C);1995;Namco;YES;-;NO;-;-;YES;NO;NO;-;NO
dunkshot;Dunk Shot (Rev C, FD1089A 317-0022);1987;Sega;YES;-;NO;-;-;YES;NO;NO;-;NO
dyger;Dyger (Korea set 1);1989;Philko;YES;-;NO;-;-;YES;NO;NO;-;NO
dygera;Dyger (Korea set 2);1989;Philko;NO;dyger;YES;dyger;-;YES;NO;NO;-;NO
dynablsb;Dynablaster (bootleg);1991;bootleg;NO;dynablst;YES;dynablst;-;YES;NO;NO;-;NO
dynablst;Dynablaster / Bomber Man;1991;Irem (licensed from Hudson Soft);YES;-;NO;-;-;YES;NO;NO;-;NO
dynamski;Dynamic Ski;1984;Taiyo;YES;-;NO;-;-;YES;NO;NO;-;NO
dynduke;Dynamite Duke (Europe, 03SEP89);1989;Seibu Kaihatsu;YES;-;NO;-;-;YES;NO;NO;-;NO
dzigzag;Zig Zag (Dig Dug hardware);1982;bootleg;NO;digdug;YES;digdug;-;YES;NO;NO;-;NO
eagle;Eagle (set 1);1980;Nichibutsu (Centuri license);NO;mooncrst;YES;mooncrst;galaxian;YES;NO;NO;-;NO
eagle2;Eagle (set 2);1980;Nichibutsu (Centuri license);NO;mooncrst;YES;mooncrst;galaxian;YES;NO;NO;-;NO
eaglshot;Eagle Shot Golf;1994;Sammy;YES;-;NO;-;-;YES;NO;NO;-;NO
eaglshta;Eagle Shot Golf (alt);1994;Sammy;NO;eaglshot;YES;eaglshot;-;YES;NO;NO;-;NO
earthjkr;U.N. Defense Force: Earth Joker (Japan);1993;Visco;YES;-;NO;-;-;YES;NO;NO;-;NO
ebases;Extra Bases;1980;Dave Nutting Associates / Midway;YES;-;NO;-;-;YES;NO;NO;-;NO
ecofghta;Eco Fighters (Asia 931203);1993;Capcom;NO;ecofghtr;YES;ecofghtr;-;YES;NO;NO;-;NO
ecofghtr;Eco Fighters (World 931203);1993;Capcom;YES;-;NO;-;-;YES;NO;NO;-;NO
edf;E.D.F. : Earth Defense Force (set 1);1991;Jaleco;YES;-;NO;-;-;YES;NO;NO;-;NO
edrandy;The Cliffhanger - Edward Randy (World ver 3);1990;Data East Corporation;YES;-;NO;-;-;YES;NO;NO;-;NO
edrandy1;The Cliffhanger - Edward Randy (World ver 1);1990;Data East Corporation;NO;edrandy;YES;edrandy;-;YES;NO;NO;-;NO
edrandyj;The Cliffhanger - Edward Randy (Japan ver 3);1990;Data East Corporation;NO;edrandy;YES;edrandy;-;YES;NO;NO;-;NO
eggor;Eggor;1983;Telko;YES;-;NO;-;-;YES;NO;NO;-;NO
eggs;Eggs (USA);1983;Technos Japan (Universal USA license);NO;scregg;YES;scregg;-;YES;NO;NO;-;NO
eggventr;Egg Venture (Release 10);1997;The Game Room;YES;-;NO;-;-;YES;NO;NO;-;NO
eggvntdx;Egg Venture Deluxe;1997;The Game Room;NO;eggventr;YES;eggventr;-;YES;NO;NO;-;NO
ehrgeiz;Ehrgeiz (World, EG2/VER.A);1998;Square / Namco;YES;-;NO;-;-;YES;NO;NO;-;NO
eightfrc;Eight Forces;1994;Tecmo;YES;-;NO;-;-;YES;NO;NO;-;NO
eightman;Eight Man (NGM-025 ~ NGH-025);1991;SNK / Pallas;YES;neogeo;NO;-;-;YES;NO;NO;neogeo;NO
einnings;Extra Inning;1978;Midway;YES;-;NO;-;-;YES;NO;NO;-;NO
ejihon;Ejihon Tantei Jimusyo (J 950613 V1.000);1995;Sega;YES;stvbios;NO;-;-;YES;NO;NO;stvbios;NO
elandore;Touryuu Densetsu Elan-Doree / Elan Doree - Legend of Dragoon (JUET 980922 V1.006);1998;Sai-Mate;YES;stvbios;NO;-;-;YES;NO;NO;stvbios;NO
elecyoy2;The Electric Yo-Yo (set 2);1982;Taito America Corporation;NO;elecyoyo;YES;elecyoyo;-;YES;NO;NO;-;NO
elecyoyo;The Electric Yo-Yo (set 1);1982;Taito America Corporation;YES;-;NO;-;-;YES;NO;NO;-;NO
elevatob;Elevator Action (bootleg);1983;bootleg;NO;elevator;YES;elevator;-;YES;NO;NO;-;NO
elevator;Elevator Action (5 pcb version, 1.1);1983;Taito Corporation;YES;-;NO;-;-;YES;NO;NO;-;NO
elim2;Eliminator (2 Players, set 1);1981;Gremlin;YES;-;NO;-;elim2;YES;NO;NO;-;NO
elim2a;Eliminator (2 Players, set 2);1981;Gremlin;NO;elim2;YES;elim2;elim2;YES;NO;NO;-;NO
elim4;Eliminator (4 Players);1981;Gremlin;NO;elim2;YES;elim2;elim2;YES;NO;NO;-;NO
elvact2u;Elevator Action II (Ver 2.2A 1995/02/20);1994;Taito America Corporation;NO;elvactr;YES;elvactr;-;YES;NO;NO;-;NO
elvactr;Elevator Action Returns (Ver 2.2O 1995/02/20);1994;Taito Corporation Japan;YES;-;NO;-;-;YES;NO;NO;-;NO
elvactrj;Elevator Action Returns (Ver 2.2J 1995/02/20);1994;Taito Corporation;NO;elvactr;YES;elvactr;-;YES;NO;NO;-;NO
embargo;Embargo;1977;Cinematronics;YES;-;NO;-;-;YES;NO;NO;-;NO
emeralda;Emeraldia (World);1993;Namco;YES;-;NO;-;-;YES;NO;NO;-;NO
